                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95924,                 1.3927,                0.66526,                0.99461,                0.86785,                0.87783,                0.90757,                0.66121,                0.88156,                 0.8733,                0.91093,                0.65914,                 1.0311,                 1.3926,                0.69306,                 1.0788,              0.0013466,              0.0013466,              0.0013466
                     35,                0.98318,                 1.4619,                0.69026,                0.99973,                 0.8985,                0.83258,                0.91547,                0.64456,                0.90827,                0.84163,                0.91526,                0.63363,                 1.0176,                 1.4007,                0.69711,                 1.0871,              0.0013268,              0.0013268,              0.0013268
                     36,                0.97342,                 1.3756,                0.63435,                0.99566,                0.86738,                0.91855,                0.93039,                 0.6681,                0.87224,                0.92308,                0.92975,                0.66232,                0.99432,                 1.4505,                 0.6611,                 1.0449,               0.001307,               0.001307,               0.001307
                     37,                0.93763,                 1.3162,                 0.6264,                0.99212,                0.83229,                 0.8982,                0.92196,                0.67733,                0.88713,                0.85354,                0.91687,                0.66673,                0.98164,                  1.443,                0.64927,                  1.037,              0.0012872,              0.0012872,              0.0012872
                     38,                0.95981,                  1.358,                0.64158,                0.99853,                 0.8848,                0.83412,                0.91623,                0.65819,                 0.8944,                0.84317,                0.92473,                0.64413,                 1.0583,                 1.4525,                0.70189,                 1.0711,              0.0012674,              0.0012674,              0.0012674
                     39,                0.94447,                 1.3344,                  0.632,                0.99894,                0.91172,                0.88688,                0.93305,                0.66282,                0.90707,                0.88235,                0.92478,                0.64245,                 1.0205,                 1.4513,                0.67577,                 1.0504,              0.0012476,              0.0012476,              0.0012476
                     40,                0.92987,                 1.3274,                0.61556,                0.98637,                0.91037,                0.87321,                0.92383,                0.67424,                0.89997,                0.86425,                0.91437,                0.66894,                0.91718,                 1.3867,                0.65939,                 1.0122,              0.0012278,              0.0012278,              0.0012278
                     41,                0.92857,                 1.3212,                 0.6306,                0.98876,                0.88182,                0.85068,                0.92323,                0.65906,                0.88182,                0.85068,                0.91765,                0.65565,                0.96889,                 1.3946,                0.69812,                 1.0454,               0.001208,               0.001208,               0.001208
                     42,                0.90539,                 1.3041,                0.59767,                0.96623,                0.88886,                0.87783,                0.93015,                0.67618,                0.88958,                0.87489,                0.92539,                0.66377,                0.98568,                 1.4138,                0.68184,                 1.0367,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89202,                  1.308,                 0.5954,                0.96572,                0.88644,                0.84771,                0.92572,                0.67481,                0.89117,                0.85223,                0.92659,                0.66528,                0.97671,                 1.3523,                0.67095,                 1.0278,              0.0011684,              0.0011684,              0.0011684
                     44,                0.91728,                 1.3044,                 0.6004,                0.97125,                0.93315,                0.85068,                0.93121,                0.68003,                0.93315,                0.85068,                0.92532,                0.66269,                 0.9508,                 1.5001,                0.64097,                 1.0298,              0.0011486,              0.0011486,              0.0011486
                     45,                0.96009,                 1.3017,                0.62185,                 1.0031,                 0.9159,                 0.8552,                0.93166,                0.66505,                0.92075,                0.85973,                0.93308,                0.65866,                 1.0038,                 1.4402,                0.61273,                 1.0615,              0.0011288,              0.0011288,              0.0011288
                     46,                0.91817,                 1.3464,                0.60651,                 0.9715,                0.92111,                0.84533,                0.92692,                0.65775,                0.92111,                0.84533,                0.92829,                0.65314,                0.98958,                 1.3765,                0.66973,                 1.0193,               0.001109,               0.001109,               0.001109
                     47,                0.90738,                 1.2879,                0.58848,                0.97906,                0.94411,                0.84074,                0.93623,                 0.7173,                0.94917,                0.84503,                0.94537,                 0.6947,                 0.9344,                 1.3417,                0.63133,                 1.0159,              0.0010892,              0.0010892,              0.0010892
                     48,                0.90801,                 1.2835,                0.59042,                0.97015,                0.92024,                0.88749,                0.93218,                0.68813,                0.92024,                0.88749,                0.92793,                0.67848,                0.94753,                 1.4147,                0.63355,                 1.0272,              0.0010694,              0.0010694,              0.0010694
                     49,                0.91973,                 1.3092,                0.59812,                0.97546,                 0.9169,                0.89872,                0.94208,                0.70818,                0.91679,                0.89732,                0.94291,                0.68693,                0.93462,                 1.3341,                0.59715,                  1.021,              0.0010496,              0.0010496,              0.0010496
                     50,                0.92718,                 1.3165,                0.58007,                0.98042,                0.92388,                0.87865,                0.92616,                0.69023,                0.91912,                0.87413,                0.92343,                0.66473,                0.96274,                 1.4413,                0.61826,                 1.0162,              0.0010298,              0.0010298,              0.0010298
